id,district,neighbourhood,predicted_damage,real_damage,error_ratio,outlier,confidence,damage_class_regression
40577,ATASEHIR,FERHATPASA NEIGHBORHOOD,0.01047912273,0.0099010084,0.0583894398,0,0.9416105602,Minor
40795,ATASEHIR,FETIH NEIGHBORHOOD,0.009957035658,0.01014375197,0.01840702639,0,0.9815929736,Minor
40530,ATASEHIR,ICERENKOY NEIGHBORHOOD,0.03474884928,0.02377149874,1.259215327,0,0.9298742872,Medium
40534,ATASEHIR,INONU NEIGHBORHOOD,0.01550758192,0.01517150252,0.02215201803,0,0.977847982,Minor
40533,ATASEHIR,KAYISDAGI NEIGHBORHOOD,0.01966954729,0.01941232941,0.01325023296,0,0.986749767,Minor
40531,ATASEHIR,KUCUKBAKKALKOY NEIGHBORHOOD,0.03127326084,0.03428054231,0.08772560958,0,0.9122743904,Medium
99516,ATASEHIR,MEVLANA NEIGHBORHOOD,0.01549738122,0.01390444963,0.1145627217,0,0.8854372783,Minor
99519,ATASEHIR,MIMAR SINAN NEIGHBORHOOD,0.01360663777,0.01327367486,0.02508445624,0,0.9749155438,Minor
40740,ATASEHIR,MUSTAFA KEMAL NEIGHBORHOOD,0.02370714743,0.02434693427,0.02627792186,0,0.9737220781,Minor
40816,ATASEHIR,ORNEK NEIGHBORHOOD,0.02208712474,0.02329187442,0.05172403313,0,0.9482759669,Minor
40746,ATASEHIR,YENI CAMLICA NEIGHBORHOOD,0.01825157577,0.01811779737,0.007383811738,0,0.9926161883,Minor
40526,ATASEHIR,YENISAHRA NEIGHBORHOOD,0.04365699918,0.04158564965,0.04980923811,0,0.9501907619,Medium
99517,ATASEHIR,YENISEHIR NEIGHBORHOOD,0.02565281778,0.005390729256,7.949528707,1,0.8840388778,Minor
40146,AVCILAR,AMBARLI NEIGHBORHOOD,0.1576672017,0.1613843586,0.02303294417,0,0.9769670558,Heavy
40148,AVCILAR,CIHANGIR NEIGHBORHOOD,0.1118602656,0.1173302091,0.04662007773,0,0.9533799223,Heavy
40147,AVCILAR,DENIZKOSKLER NEIGHBORHOOD,0.1594423807,0.1385242699,0.1510068296,0,0.8489931704,Heavy
40152,AVCILAR,FIRUZKOY NEIGHBORHOOD,0.1086853127,0.03893508967,1.802823075,1,0.8628988777,Heavy
40151,AVCILAR,GUMUSPALA NEIGHBORHOOD,0.1494166143,0.1352878253,0.104435037,0,0.895564963,Heavy
40145,AVCILAR,MERKEZ NEIGHBORHOOD,0.2140244412,0.1547288425,0.5439828479,1,0.6801104281,Very Heavy
40150,AVCILAR,MUSTAFA KEMALPASA NEIGHBORHOOD,0.1824854077,0.1014765424,1.25605819,1,0.8168033382,Very Heavy
40154,AVCILAR,TAHTAKALE NEIGHBORHOOD,0.01234324028,0.0178767127,0.3095352325,0,0.6904647675,Minor
40149,AVCILAR,UNIVERSITE NEIGHBORHOOD,0.09638043603,0.07078725555,0.9698005012,0,0.8551627316,Heavy
40153,AVCILAR,YESILKENT NEIGHBORHOOD,0.03354902223,0.03495963082,0.04034964199,0,0.959650358,Medium
40176,BAGCILAR,100. YIL NEIGHBORHOOD,0.07831869076,0.01554695584,3.237952335,1,0.8914457527,Medium
40155,BAGCILAR,BAGLAR NEIGHBORHOOD,0.1119609675,0.1130890449,0.009975125231,0,0.9900248748,Heavy
40157,BAGCILAR,BARBAROS NEIGHBORHOOD,0.1691078973,0.1700428726,0.005498467882,0,0.9945015321,Heavy
40163,BAGCILAR,CINAR NEIGHBORHOOD,0.175830848,0.1756163816,0.001221220949,0,0.9987787791,Heavy
40171,BAGCILAR,DEMIRKAPI NEIGHBORHOOD,0.1103380562,0.1102988222,0.0003557062576,0,0.9996442937,Heavy
40169,BAGCILAR,15 TEMMUZ NEIGHBORHOOD,0.09798968012,0.09416005252,0.04067146837,0,0.9593285316,Heavy
40172,BAGCILAR,FATIH NEIGHBORHOOD,0.0629850897,0.06585557456,0.04358757595,0,0.956412424,Medium
40173,BAGCILAR,FEVZI CAKMAK NEIGHBORHOOD,0.1023990917,0.1009658537,0.01419527451,0,0.9858047255,Heavy
40175,BAGCILAR,GOZTEPE NEIGHBORHOOD,0.07860906366,0.05397328135,0.623295502,0,0.8482584549,Medium
40168,BAGCILAR,GUNESLI NEIGHBORHOOD,0.1190948875,0.1183823337,0.006019089389,0,0.9939809106,Heavy
40156,BAGCILAR,HURRIYET NEIGHBORHOOD,0.171508371,0.1697729891,0.01022177857,0,0.9897782214,Heavy
40159,BAGCILAR,INONU NEIGHBORHOOD,0.1785669034,0.1817393395,0.01745596803,0,0.982544032,Heavy
40158,BAGCILAR,KAZIM KARABEKIR NEIGHBORHOOD,0.169496498,0.1670334403,0.01474589577,0,0.9852541042,Heavy
40174,BAGCILAR,KEMALPASA NEIGHBORHOOD,0.0678578323,0.06405946025,0.05929447484,0,0.9407055252,Medium
40166,BAGCILAR,KIRAZLI NEIGHBORHOOD,0.1294532487,0.1317505226,0.01743654483,0,0.9825634552,Heavy
40170,BAGCILAR,MAHMUTBEY NEIGHBORHOOD,0.04698079303,0.04609874018,0.01913399019,0,0.9808660098,Medium
40162,BAGCILAR,MERKEZ NEIGHBORHOOD,0.1302949428,0.1845037779,0.369822402,1,0.8613701793,Heavy
40164,BAGCILAR,SANCAKTEPE NEIGHBORHOOD,0.1298457813,0.1295858894,0.00200555716,0,0.9979944428,Heavy
40165,BAGCILAR,YAVUZ SELIM NEIGHBORHOOD,0.113960149,0.1277034841,0.1076191088,0,0.8923808912,Heavy
40161,BAGCILAR,YENIGUN NEIGHBORHOOD,0.2265794164,0.2206088816,0.02706389136,0,0.9729361086,Very Heavy
40167,BAGCILAR,YENIMAHALLE NEIGHBORHOOD,0.1158085647,0.1177204206,0.01624064792,0,0.9837593521,Heavy
40160,BAGCILAR,YILDIZTEPE NEIGHBORHOOD,0.2054939847,0.2080132756,0.01211120233,0,0.9878887977,Very Heavy
40177,BAHCELIEVLER,BAHCELIEVLER NEIGHBORHOOD,0.3381608503,0.3309187274,0.02188489878,0,0.9781151012,Very Heavy
40181,BAHCELIEVLER,CUMHURIYET NEIGHBORHOOD,0.2164637601,0.2206894179,0.01914753277,0,0.9808524672,Very Heavy
40184,BAHCELIEVLER,COBANCESME NEIGHBORHOOD,0.1743092723,0.1710532962,0.01903486355,0,0.9809651364,Heavy
40185,BAHCELIEVLER,FEVZI CAKMAK NEIGHBORHOOD,0.2211431089,0.2306127187,0.0410628255,0,0.9589371745,Very Heavy
40187,BAHCELIEVLER,HURRIYET NEIGHBORHOOD,0.2792992201,0.266186231,0.04926246207,0,0.9507375379,Very Heavy
40182,BAHCELIEVLER,KOCASINAN MERKEZ NEIGHBORHOOD,0.2064746348,0.209377222,0.01386295597,0,0.986137044,Very Heavy
40179,BAHCELIEVLER,SIYAVUSPASA NEIGHBORHOOD,0.3526382978,0.3538100514,0.003311815679,0,0.9966881843,Very Heavy
40180,BAHCELIEVLER,SOGANLI NEIGHBORHOOD,0.2874149966,0.279122782,0.02970812543,0,0.9702918746,Very Heavy
40178,BAHCELIEVLER,SIRINEVLER NEIGHBORHOOD,0.3535866135,0.359260361,0.01579285688,0,0.9842071431,Very Heavy
40183,BAHCELIEVLER,YENIBOSNA MERKEZ NEIGHBORHOOD,0.1350404296,0.136218816,0.008650687192,0,0.9913493128,Heavy
40186,BAHCELIEVLER,ZAFER NEIGHBORHOOD,0.2259918622,0.2284650315,0.01082515432,0,0.9891748457,Very Heavy
40202,BAKIRKOY,ATAKOY 1. KISIM NEIGHBORHOOD,0.3950917185,0.4360248654,0.09387801057,0,0.9061219894,Very Heavy
