mahalle,ilce,vs30_mosaic
AKPINAR MAHALLESI,SANCAKTEPE,456.00000
ATATURK MAHALLESI,SANCAKTEPE,294.00000
EMEK MAHALLESI,SANCAKTEPE,296.00000
EYUP SULTAN MAHALLESI,SANCAKTEPE,335.00000
FATIH MAHALLESI,SANCAKTEPE,406.00000
HILAL MAHALLESI,SANCAKTEPE,390.00000
INONU MAHALLESI,SANCAKTEPE,291.00000
KEMAL TURKLER MAHALLESI,SANCAKTEPE,279.00000
MECLIS MAHALLESI,SANCAKTEPE,239.00000
MERVE MAHALLESI,SANCAKTEPE,345.00000
MEVLANA MAHALLESI,SANCAKTEPE,377.00000
OSMANGAZI MAHALLESI,SANCAKTEPE,286.00000
PASAKOY MAHALLESI,SANCAKTEPE,509.00000
SAFA MAHALLESI,SANCAKTEPE,386.00000
SARIGAZI MAHALLESI,SANCAKTEPE,372.00000
VEYSEL KARANI MAHALLESI,SANCAKTEPE,488.00000
YENIDOGAN MAHALLESI,SANCAKTEPE,403.00000
YUNUS EMRE MAHALLESI,SANCAKTEPE,334.00000
AYAZAGA MAHALLESI,SARIYER,420.00000
BAHCEKOY KEMER MAHALLESI,SARIYER,408.00000
BAHCEKOY MERKEZ MAHALLESI,SARIYER,408.00000
BAHCEKOY YENI MAHALLESI,SARIYER,408.00000
BALTALIMANI MAHALLESI,SARIYER,500.00000
BUYUKDERE MAHALLESI,SARIYER,609.00000
CUMHURIYET MAHALLESI,SARIYER,497.00000
CAMLITEPE MAHALLESI,SARIYER,420.00000
CAYIRBASI MAHALLESI,SARIYER,468.00000
DARUSSAFAKA MAHALLESI,SARIYER,436.00000
DEMIRCIKOY MAHALLESI,SARIYER,600.00000
EMIRGAN MAHALLESI,SARIYER,516.00000
FATIH SULTAN MEHMET MAHALLESI,SARIYER,356.00000
FERAHEVLER MAHALLESI,SARIYER,388.00000
GARIPCE MAHALLESI,SARIYER,600.00000
GUMUSDERE MAHALLESI,SARIYER,419.00000
HUZUR MAHALLESI,SARIYER,468.00000
ISTINYE MAHALLESI,SARIYER,417.00000
KAZIM KARABEKIR PASA MAHALLESI,SARIYER,594.00000
KISIRKAYA MAHALLESI,SARIYER,600.00000
KIRECBURNU MAHALLESI,SARIYER,549.00000
KOCATAS MAHALLESI,SARIYER,554.00000
KUMKOY (KILYOS) MAHALLESI,SARIYER,436.00000
MADEN MAHALLESI,SARIYER,433.00000
MASLAK MAHALLESI,SARIYER,378.00000
PINAR MAHALLESI,SARIYER,441.00000
POLIGON MAHALLESI,SARIYER,467.00000
PTT EVLERI MAHALLESI,SARIYER,511.00000
RESITPASA MAHALLESI,SARIYER,364.00000
RUMELIHISARI MAHALLESI,SARIYER,548.00000
RUMELIKAVAGI MAHALLESI,SARIYER,603.00000
RUMELIFENERI MAHALLESI,SARIYER,451.00000
SARIYER MERKEZ MAHALLESI,SARIYER,600.00000
TARABYA MAHALLESI,SARIYER,600.00000
USKUMRUKOY MAHALLESI,SARIYER,335.00000
YENI MAHALLESI,SARIYER,523.00000
YENIKOY MAHALLESI,SARIYER,428.00000
ZEKERIYAKOY MAHALLESI,SARIYER,523.00000
AKOREN MAHALLESI,SILIVRI,378.00000
ALIBEY MAHALLESI,SILIVRI,413.00000
ALIPASA MAHALLESI,SILIVRI,322.00000
BALABAN MAHALLESI,SILIVRI,556.00000
BEKIRLI MAHALLESI,SILIVRI,402.00000
BEYCILER MAHALLESI,SILIVRI,266.00000
BUYUK CAVUSLU MAHALLESI,SILIVRI,381.00000
BUYUK KILICLI MAHALLESI,SILIVRI,413.00000
BUYUK SINEKLI MAHALLESI,SILIVRI,420.00000
CUMHURIYET MAHALLESI,SILIVRI,500.00000
CAYIRDERE MAHALLESI,SILIVRI,277.00000
CELTIK MAHALLESI,SILIVRI,372.00000
DANAMANDIRA MAHALLESI,SILIVRI,339.00000
FATIH MAHALLESI,SILIVRI,400.00000
FENER MAHALLESI,SILIVRI,375.00000
DEGIRMENKOY FEVZIPASA MAHALLESI,SILIVRI,300.00000
GAZITEPE MAHALLESI,SILIVRI,406.00000
GUMUSYAKA MAHALLESI,SILIVRI,455.00000
HURRIYET MAHALLESI,SILIVRI,414.00000
ISMETPASA MAHALLESI,SILIVRI,466.00000
KADIKOY MAHALLESI,SILIVRI,336.00000
KAVAKLI MAHALLESI,SILIVRI,354.00000
KURFALLI MAHALLESI,SILIVRI,452.00000
KUCUK KILICLI MAHALLESI,SILIVRI,380.00000
KUCUK SINEKLI MAHALLESI,SILIVRI,231.00000
MIMAR SINAN MAHALLESI,SILIVRI,438.00000
ORTAKOY MAHALLESI,SILIVRI,473.00000
PIRI MEHMET PASA MAHALLESI,SILIVRI,600.00000
SANCAKTEPE MAHALLESI,SILIVRI,447.00000
SAYALAR MAHALLESI,SILIVRI,293.00000
SELIMPASA MAHALLESI,SILIVRI,316.00000
SEMIZKUMLAR MAHALLESI,SILIVRI,329.00000
SEYMEN MAHALLESI,SILIVRI,392.00000
YENI MAHALLESI,SILIVRI,360.00000
YOLCATI MAHALLESI,SILIVRI,489.00000
ABDURRAHMANGAZI MAHALLESI,SULTANBEYLI,574.00000
ADIL MAHALLESI,SULTANBEYLI,335.00000
AHMET YESEVI MAHALLESI,SULTANBEYLI,408.00000
AKSEMSETTIN MAHALLESI,SULTANBEYLI,392.00000
BATTALGAZI MAHALLESI,SULTANBEYLI,520.00000
FATIH MAHALLESI,SULTANBEYLI,452.00000
HAMIDIYE MAHALLESI,SULTANBEYLI,468.00000
HASANPASA MAHALLESI,SULTANBEYLI,483.00000
MECIDIYE MAHALLESI,SULTANBEYLI,356.00000
MEHMET AKIF MAHALLESI,SULTANBEYLI,493.00000
MIMAR SINAN MAHALLESI,SULTANBEYLI,360.00000
NECIP FAZIL MAHALLESI,SULTANBEYLI,542.00000
ORHANGAZI MAHALLESI,SULTANBEYLI,401.00000
TURGUT REIS MAHALLESI,SULTANBEYLI,495.00000
YAVUZ SELIM MAHALLESI,SULTANBEYLI,741.00000
50. YIL MAHALLESI,SULTANGAZI,312.00000
75. YIL MAHALLESI,SULTANGAZI,487.00000
CEBECI MAHALLESI,SULTANGAZI,334.00000
CUMHURIYET MAHALLESI,SULTANGAZI,383.00000
ESENTEPE MAHALLESI,SULTANGAZI,370.00000
ESKI HABIPLER MAHALLESI,SULTANGAZI,297.00000
GAZI MAHALLESI,SULTANGAZI,365.00000
HABIBLER MAHALLESI,SULTANGAZI,416.00000
ISMETPASA MAHALLESI,SULTANGAZI,278.00000
MALKOCOGLU MAHALLESI,SULTANGAZI,292.00000
SULTANCIFTLIGI MAHALLESI,SULTANGAZI,359.00000
UGUR MUMCU MAHALLESI,SULTANGAZI,290.00000
YAYLA MAHALLESI,SULTANGAZI,442.00000
YUNUS EMRE MAHALLESI,SULTANGAZI,456.00000
ZUBEYDE HANIM MAHALLESI,SULTANGAZI,521.00000
AGACDERE MAHALLESI,SILE,239.00000
AGVA MERKEZ MAHALLESI,SILE,600.00000
AHMETLI MAHALLESI,SILE,443.00000
AKCAKESE MAHALLESI,SILE,457.00000
ALACALI MAHALLESI,SILE,450.00000
AVCIKORU MAHALLESI,SILE,267.00000
BALIBEY MAHALLESI,SILE,405.00000
BICKIDERE MAHALLESI,SILE,295.00000
BOZGOCA MAHALLESI,SILE,498.00000
BUCAKLI MAHALLESI,SILE,474.00000
CATAKLI MAHALLESI,SILE,475.00000
CAVUS MAHALLESI,SILE,434.00000
CAYIRBASI MAHALLESI,SILE,409.00000
CELEBI MAHALLESI,SILE,493.00000
CENGILLI MAHALLESI,SILE,473.00000
DARLIK MAHALLESI,SILE,307.00000
DEGIRMENCAYIRI MAHALLESI,SILE,502.00000
DOGANCILI MAHALLESI,SILE,443.00000
ERENLER MAHALLESI,SILE,435.00000
ESENCELI MAHALLESI,SILE,524.00000
GEREDELI MAHALLESI,SILE,407.00000
GOCE MAHALLESI,SILE,354.00000
GOKMASLI MAHALLESI,SILE,528.00000
GOKSU MAHALLESI,SILE,417.00000
HACI KASIM MAHALLESI,SILE,409.00000
HACILLI MAHALLESI,SILE,494.00000
HASANLI MAHALLESI,SILE,469.00000
IMRENDERE MAHALLESI,SILE,504.00000
IMRENLI MAHALLESI,SILE,448.00000
ISAKOY MAHALLESI,SILE,546.00000
KABAKOZ MAHALLESI,SILE,287.00000
KADIKOY MAHALLESI,SILE,406.00000
KALEM MAHALLESI,SILE,550.00000
KARABEYLI MAHALLESI,SILE,385.00000
KARACAKOY MAHALLESI,SILE,423.00000
KARAKIRAZ MAHALLESI,SILE,265.00000
KARAMANDERE MAHALLESI,SILE,453.00000
KERVANSARAY MAHALLESI,SILE,382.00000
KIZILCA MAHALLESI,SILE,472.00000
KORUCU MAHALLESI,SILE,396.00000
KOMURLUK MAHALLESI,SILE,396.00000
KUMBABA MAHALLESI,SILE,275.00000
KURFALLI MAHALLESI,SILE,418.00000
KURNA MAHALLESI,SILE,334.00000
MESRUTIYET MAHALLESI,SILE,396.00000
ORUCOGLU MAHALLESI,SILE,286.00000
OSMANKOY MAHALLESI,SILE,341.00000
OVACIK MAHALLESI,SILE,409.00000
SAHILKOY MAHALLESI,SILE,416.00000
SATMAZLI MAHALLESI,SILE,408.00000
SOFULAR MAHALLESI,SILE,384.00000
SOGULLU MAHALLESI,SILE,483.00000
SORTULLU MAHALLESI,SILE,525.00000
SUAYIPLI MAHALLESI,SILE,489.00000
TEKE MAHALLESI,SILE,430.00000
ULUPELIT MAHALLESI,SILE,390.00000
UVEZLI MAHALLESI,SILE,297.00000
YAKA MAHALLESI,SILE,502.00000
YAYLALI MAHALLESI,SILE,479.00000
YAZIMANAYIR MAHALLESI,SILE,320.00000
YENIKOY MAHALLESI,SILE,394.00000
YESILVADI MAHALLESI,SILE,458.00000
19 MAYIS MAHALLESI,SISLI,387.00000
BOZKURT MAHALLESI,SISLI,373.00000
CUMHURIYET MAHALLESI,SISLI,359.00000
DUATEPE MAHALLESI,SISLI,373.00000
ERGENEKON MAHALLESI,SISLI,373.00000
ESENTEPE MAHALLESI,SISLI,370.00000
ESKISEHIR MAHALLESI,SISLI,390.00000
FERIKOY MAHALLESI,SISLI,373.00000
FULYA MAHALLESI,SISLI,411.00000
GULBAHAR MAHALLESI,SISLI,393.00000
HALASKARGAZI MAHALLESI,SISLI,446.00000
HALIDE EDIP ADIVAR MAHALLESI,SISLI,406.00000
HALIL RIFAT PASA MAHALLESI,SISLI,310.00000
HARBIYE MAHALLESI,SISLI,505.00000
INONU MAHALLESI,SISLI,390.00000
IZZETPASA MAHALLESI,SISLI,332.00000
KAPTANPASA MAHALLESI,SISLI,470.00000
KUSTEPE MAHALLESI,SISLI,425.00000
MAHMUT SEVKET PASA MAHALLESI,SISLI,416.00000
MECIDIYEKOY MAHALLESI,SISLI,316.00000
MERKEZ MAHALLESI,SISLI,387.00000
MESRUTIYET MAHALLESI,SISLI,387.00000
PASA MAHALLESI,SISLI,425.00000
TESVIKIYE MAHALLESI,SISLI,462.00000
YAYLA MAHALLESI,SISLI,425.00000
AKFIRAT MAHALLESI,TUZLA,382.00000
ANADOLU MAHALLESI,TUZLA,444.00000
AYDINLI MAHALLESI,TUZLA,430.00000
AYDINTEPE MAHALLESI,TUZLA,424.00000
CAMI MAHALLESI,TUZLA,305.00000
EVLIYA CELEBI MAHALLESI,TUZLA,600.00000
FATIH MAHALLESI,TUZLA,320.00000
ICMELER MAHALLESI,TUZLA,460.00000
ISTASYON MAHALLESI,TUZLA,406.00000
MESCIT MAHALLESI,TUZLA,359.00000
MIMAR SINAN MAHALLESI,TUZLA,277.00000
ORHANLI MAHALLESI,TUZLA,267.00000
ORTA MAHALLESI,TUZLA,472.00000
POSTANE MAHALLESI,TUZLA,237.00000
SIFA MAHALLESI,TUZLA,350.00000
TEPEOREN MAHALLESI,TUZLA,377.00000
YAYLA MAHALLESI,TUZLA,286.00000
ADEM YAVUZ MAHALLESI,UMRANIYE,299.00000
ALTINSEHIR MAHALLESI,UMRANIYE,370.00000
ARMAGANEVLER MAHALLESI,UMRANIYE,426.00000
ASAGI DUDULLU MAHALLESI,UMRANIYE,331.00000
ATAKENT MAHALLESI,UMRANIYE,442.00000
ATATURK MAHALLESI,UMRANIYE,320.00000
CEMIL MERIC MAHALLESI,UMRANIYE,328.00000
CAKMAK MAHALLESI,UMRANIYE,408.00000
CAMLIK MAHALLESI,UMRANIYE,350.00000
DUMLUPINAR MAHALLESI,UMRANIYE,386.00000
ELMALIKENT MAHALLESI,UMRANIYE,392.00000
ESENEVLER MAHALLESI,UMRANIYE,444.00000
ESENKENT MAHALLESI,UMRANIYE,296.00000
ESENSEHIR MAHALLESI,UMRANIYE,300.00000
FATIH SULTAN MEHMET MAHALLESI,UMRANIYE,379.00000
HEKIMBASI MAHALLESI,UMRANIYE,439.00000
HUZUR MAHALLESI,UMRANIYE,299.00000
IHLAMURKUYU MAHALLESI,UMRANIYE,280.00000
INKILAP MAHALLESI,UMRANIYE,362.00000
ISTIKLAL MAHALLESI,UMRANIYE,445.00000
KAZIM KARABEKIR MAHALLESI,UMRANIYE,330.00000
MADENLER MAHALLESI,UMRANIYE,292.00000
MEHMET AKIF MAHALLESI,UMRANIYE,370.00000
NAMIK KEMAL MAHALLESI,UMRANIYE,444.00000
NECIP FAZIL MAHALLESI,UMRANIYE,328.00000
PARSELLER MAHALLESI,UMRANIYE,266.00000
SITE MAHALLESI,UMRANIYE,442.00000
SERIFALI MAHALLESI,UMRANIYE,381.00000
TANTAVI MAHALLESI,UMRANIYE,341.00000
TATLISU MAHALLESI,UMRANIYE,385.00000
TEPEUSTU MAHALLESI,UMRANIYE,349.00000
TOPAGACI MAHALLESI,UMRANIYE,333.00000
YAMANEVLER MAHALLESI,UMRANIYE,277.00000
YUKARI DUDULLU MAHALLESI,UMRANIYE,305.00000
ACIBADEM MAHALLESI,USKUDAR,532.00000
AHMEDIYE MAHALLESI,USKUDAR,430.00000
ALTUNIZADE MAHALLESI,USKUDAR,425.00000
AZIZ MAHMUT HUDAYI MAHALLESI,USKUDAR,600.00000
BAHCELIEVLER MAHALLESI,USKUDAR,398.00000
BARBAROS MAHALLESI,USKUDAR,440.00000
BEYLERBEYI MAHALLESI,USKUDAR,492.00000
BULGURLU MAHALLESI,USKUDAR,464.00000
BURHANIYE MAHALLESI,USKUDAR,406.00000
CUMHURIYET MAHALLESI,USKUDAR,466.00000
CENGELKOY MAHALLESI,USKUDAR,492.00000
FERAH MAHALLESI,USKUDAR,525.00000
GUZELTEPE MAHALLESI,USKUDAR,365.00000
ICADIYE MAHALLESI,USKUDAR,522.00000
KANDILLI MAHALLESI,USKUDAR,583.00000
KISIKLI MAHALLESI,USKUDAR,437.00000
KIRAZLITEPE MAHALLESI,USKUDAR,545.00000
KULELI MAHALLESI,USKUDAR,573.00000
KUZGUNCUK MAHALLESI,USKUDAR,522.00000
KUCUK CAMLICA MAHALLESI,USKUDAR,472.00000
KUCUKSU MAHALLESI,USKUDAR,506.00000
KUPLUCE MAHALLESI,USKUDAR,575.00000
MEHMET AKIF ERSOY MAHALLESI,USKUDAR,533.00000
MIMAR SINAN MAHALLESI,USKUDAR,508.00000
MURATREIS MAHALLESI,USKUDAR,441.00000
SALACAK MAHALLESI,USKUDAR,430.00000
SELAMI ALI MAHALLESI,USKUDAR,441.00000
SELIMIYE MAHALLESI,USKUDAR,381.00000
SULTANTEPE MAHALLESI,USKUDAR,497.00000
UNALAN MAHALLESI,USKUDAR,466.00000
VALIDE-I ATIK MAHALLESI,USKUDAR,392.00000
YAVUZTURK MAHALLESI,USKUDAR,426.00000
ZEYNEP KAMIL MAHALLESI,USKUDAR,392.00000
BESTELSIZ MAHALLESI,ZEYTINBURNU,337.00000
CIRPICI MAHALLESI,ZEYTINBURNU,376.00000
GOKALP MAHALLESI,ZEYTINBURNU,395.00000
KAZLICESME MAHALLESI,ZEYTINBURNU,372.00000
MALTEPE MAHALLESI,ZEYTINBURNU,391.00000
MERKEZEFENDI MAHALLESI,ZEYTINBURNU,372.00000
NURIPASA MAHALLESI,ZEYTINBURNU,353.00000
SEYITNIZAM MAHALLESI,ZEYTINBURNU,247.00000
SUMER MAHALLESI,ZEYTINBURNU,346.00000
TELSIZ MAHALLESI,ZEYTINBURNU,337.00000
VELIEFENDI MAHALLESI,ZEYTINBURNU,376.00000
YENIDOGAN MAHALLESI,ZEYTINBURNU,395.00000
YESILTEPE MAHALLESI,ZEYTINBURNU,346.00000
